"27/2/2020 0:00:00","Thu 27 Feb 2020"
"4/3/2020 0:00:00","Wed 4 Mar 2020"
"29/2/2020 0:00:00","Sat 29 Feb 2020"
"6/3/2020 0:00:00","Fri 6 Mar 2020"
"8/3/2020 0:00:00","Sun 8 Mar 2020"
"2/3/2020 0:00:00","Mon 2 Mar 2020"
"7/3/2020 0:00:00","Sat 7 Mar 2020"
"9/3/2020 0:00:00","Mon 9 Mar 2020"
"28/2/2020 0:00:00","Fri 28 Feb 2020"
"10/3/2020 0:00:00","Tue 10 Mar 2020"
"12/3/2020 0:00:00","Thu 12 Mar 2020"
"11/3/2020 0:00:00","Wed 11 Mar 2020"
"13/3/2020 0:00:00","Fri 13 Mar 2020"
"14/3/2020 0:00:00","Sat 14 Mar 2020"
"5/3/2020 0:00:00","Thu 5 Mar 2020"
"15/3/2020 0:00:00","Sun 15 Mar 2020"
"16/3/2020 0:00:00","Mon 16 Mar 2020"
"18/3/2020 0:00:00","Wed 18 Mar 2020"
"17/3/2020 0:00:00","Tue 17 Mar 2020"
"19/3/2020 0:00:00","Thu 19 Mar 2020"
"20/3/2020 0:00:00","Fri 20 Mar 2020"
"21/3/2020 0:00:00","Sat 21 Mar 2020"
"22/3/2020 0:00:00","Sun 22 Mar 2020"
"25/3/2020 0:00:00","Wed 25 Mar 2020"
"24/3/2020 0:00:00","Tue 24 Mar 2020"
"23/3/2020 0:00:00","Mon 23 Mar 2020"
"27/3/2020 0:00:00","Fri 27 Mar 2020"
"26/3/2020 0:00:00","Thu 26 Mar 2020"
"28/3/2020 0:00:00","Sat 28 Mar 2020"
"29/3/2020 0:00:00","Sun 29 Mar 2020"
"1/3/2020 0:00:00","Sun 1 Mar 2020"
"30/3/2020 0:00:00","Mon 30 Mar 2020"
"31/3/2020 0:00:00","Tue 31 Mar 2020"
"1/4/2020 0:00:00","Wed 1 Apr 2020"
"3/4/2020 0:00:00","Fri 3 Apr 2020"
"2/4/2020 0:00:00","Thu 2 Apr 2020"
"4/4/2020 0:00:00","Sat 4 Apr 2020"
"1/5/2020 0:00:00","Fri 1 May 2020"
"1/7/2020 0:00:00","Wed 1 Jul 2020"
"5/4/2020 0:00:00","Sun 5 Apr 2020"
"6/4/2020 0:00:00","Mon 6 Apr 2020"
"7/4/2020 0:00:00","Tue 7 Apr 2020"
"17/6/2020 0:00:00","Wed 17 Jun 2020"
"9/4/2020 0:00:00","Thu 9 Apr 2020"
"8/4/2020 0:00:00","Wed 8 Apr 2020"
